,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Congo, The Democratic Republic of the",0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,30.0,0.0,3.0,0.0,83.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,223.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,26.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,2.0,25.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,22.0,3.0,2.0,0.0,0.0,25.0,0.0
Greenland,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Zambia,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,24.0,1.0,2.0,0.0,89.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Cambodia,0.0,1.0,0.0,480.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,6.0,0.0,600.0,0.0,0.0,3.0,0.0,20.0,1.0,1.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,10.0,0.0,1.0,0.0,1.0,0.0,199.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,21.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,40.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,12.0
Kazakhstan,0.0,6.0,3.0,9.0,4.0,6.0,16.0,1.0,11.0,3.0,3.0,3.0,10.0,20.0,0.0,8.0,0.0,317.0,0.0,0.0,5.0,11.0,2.0,3.0,0.0,12.0,1.0,35.0,6.0,0.0,5.0,1.0,17.0,0.0,0.0,1.0,1.0,44.0,13.0,1.0,8.0,6.0,2.0,0.0,7.0,51.0,33.0,1.0,48.0,14.0,4.0,1.0,64.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,11.0,0.0,7.0,6.0,4.0,21.0,9.0,1.0,0.0,0.0,3.0,7.0,0.0,121.0,8.0,60.0,31.0,1.0,7.0,14.0,3.0,1.0,18.0,6.0,5.0,12.0,5.0,0.0,3.0,1.0,0.0,6.0,6.0,11.0,0.0,22.0,9.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,32.0,1.0,9.0,13.0,4.0,0.0,0.0,9.0,6.0
Ireland,0.0,1.0,2.0,356.0,0.0,17.0,9.0,0.0,4.0,0.0,4.0,3.0,18.0,4.0,2.0,38.0,0.0,2100.0,0.0,4.0,17.0,4.0,0.0,0.0,0.0,23.0,3.0,38.0,4.0,0.0,2.0,0.0,47.0,3.0,0.0,0.0,1.0,81.0,11.0,6.0,20.0,3.0,16.0,1.0,20.0,11.0,79.0,0.0,13.0,10.0,2.0,0.0,421.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,1.0,0.0,10.0,0.0,6.0,5.0,2.0,25.0,90.0,1.0,0.0,0.0,44.0,2.0,2.0,1.0,8.0,16.0,9.0,3.0,7.0,116.0,1.0,0.0,5.0,0.0,40.0,30.0,170.0,0.0,4.0,2.0,0.0,8.0,1.0,1.0,0.0,64.0,10.0,15.0,1.0,10.0,1.0,7.0,0.0,1.0,29.0,0.0,19.0,1.0,0.0,7.0,0.0,8.0,10.0
Sudan,0.0,5.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,1.0,15.0,26.0,4.0,3.0,125.0,0.0,0.0,0.0,0.0,96.0,55.0,3.0,823.0,0.0,47.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.0,15.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,8.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,225.0,68.0,92.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,0.0,1.0,0.0,39.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,12.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,9.0,0.0,10.0,8.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,6.0,0.0,20.0,10.0,4.0,12.0,0.0,37.0,26.0
India,0.0,6.0,7.0,275.0,12.0,20.0,28.0,2.0,8.0,3.0,15.0,143.0,18.0,20.0,27.0,311.0,3.0,8664.0,3.0,1.0,245.0,50.0,590.0,10.0,16.0,135.0,26.0,164.0,9.0,0.0,16.0,1.0,90.0,2.0,0.0,176.0,1.0,477.0,56.0,5.0,21.0,15.0,2.0,0.0,67.0,166.0,109.0,6.0,64.0,16.0,15.0,0.0,429.0,31.0,0.0,6.0,6.0,58.0,274.0,18.0,0.0,0.0,13.0,0.0,23.0,237.0,5.0,1685.0,7.0,2.0,8.0,5.0,28.0,38.0,10.0,4.0,58.0,74.0,101.0,4.0,219.0,56.0,2.0,1.0,82.0,110.0,45.0,113.0,43.0,0.0,4.0,23.0,0.0,22.0,9.0,25.0,5.0,303.0,12.0,2.0,15.0,15.0,34.0,2.0,2.0,0.0,294.0,0.0,201.0,37.0,78.0,2.0,0.0,37.0,130.0
Zimbabwe,0.0,9.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,2.0,5.0,0.0,201.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,161.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,35.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,6.0,27.0,3.0,0.0,0.0,5.0,0.0,6.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,87.0,1.0,0.0,0.0,0.0,2.0,0.0
Gambia,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,61.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Chad,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,11.0,0.0,210.0,0.0,0.0,2.0,1.0,2.0,6.0,10.0,11.0,0.0,12.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,3.0,0.0,7.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,7.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,35.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,12.0,5.0,18.0,0.0,3.0,12.0,0.0,0.0,2.0,0.0,25.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,6.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,8.0,5.0,1.0,0.0,0.0,5.0,2.0
Liberia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,75.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,552.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,5.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,11.0,1.0
Fiji,0.0,1.0,0.0,15.0,0.0,4.0,2.0,0.0,16.0,0.0,2.0,2.0,6.0,4.0,0.0,139.0,0.0,1276.0,1.0,0.0,4.0,13.0,7.0,6.0,0.0,35.0,0.0,16.0,2.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,17.0,8.0,1.0,5.0,8.0,0.0,0.0,1.0,12.0,25.0,0.0,11.0,7.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,8.0,2.0,7.0,47.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,14.0,23.0,7.0,0.0,0.0,69.0,2.0,0.0,13.0,10.0,25.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,90.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,29.0,0.0,15.0,3.0,0.0,1.0,0.0,1.0,14.0
Sweden,0.0,4.0,1.0,48.0,2.0,6.0,4.0,0.0,13.0,0.0,5.0,6.0,43.0,8.0,2.0,28.0,0.0,839.0,1.0,6.0,32.0,27.0,6.0,7.0,2.0,21.0,1.0,53.0,2.0,0.0,41.0,1.0,32.0,0.0,0.0,0.0,1.0,38.0,4.0,4.0,9.0,8.0,8.0,0.0,15.0,26.0,47.0,1.0,61.0,3.0,1.0,0.0,162.0,0.0,2.0,1.0,42.0,1.0,4.0,3.0,0.0,0.0,30.0,2.0,5.0,10.0,0.0,34.0,9.0,1.0,0.0,0.0,21.0,22.0,4.0,4.0,19.0,35.0,11.0,3.0,0.0,167.0,8.0,1.0,14.0,22.0,9.0,23.0,154.0,0.0,1.0,4.0,0.0,15.0,0.0,5.0,0.0,28.0,18.0,4.0,2.0,24.0,0.0,11.0,1.0,0.0,16.0,6.0,7.0,3.0,0.0,2.0,0.0,0.0,5.0
Malawi,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,523.0,1.0,5.0,0.0,106.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,15.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,2.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,8.0,1.0,63.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,51.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0
Maldives,0.0,4.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,0.0,201.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,21.0,0.0,8.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,4.0,6.0,12.0,10.0,0.0,9.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,105.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,8.0,6.0,30.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,99.0,0.0,3.0,5.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0
Egypt,0.0,5.0,1.0,441.0,2.0,7.0,9.0,0.0,5.0,1.0,2.0,10.0,1.0,70.0,40.0,15.0,0.0,1744.0,1.0,1.0,7.0,0.0,47.0,349.0,1.0,74.0,3.0,336.0,0.0,0.0,0.0,1.0,17.0,4.0,2.0,12.0,1.0,437.0,13.0,1.0,10.0,0.0,0.0,3.0,7.0,21.0,55.0,2.0,14.0,14.0,2.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,0.0,10.0,0.0,10.0,131.0,22.0,103.0,10.0,0.0,0.0,0.0,1.0,84.0,2.0,1.0,17.0,1.0,168.0,1.0,3.0,59.0,1.0,1.0,6.0,40.0,2.0,81.0,10.0,0.0,0.0,25.0,0.0,1.0,1.0,16.0,0.0,15.0,34.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,15.0,79.0,0.0,1.0,0.0,34.0,18.0
Algeria,0.0,5.0,0.0,79.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,3.0,0.0,264.0,0.0,0.0,0.0,0.0,5.0,64.0,0.0,13.0,0.0,26.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,139.0,10.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,12.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,0.0,0.0,0.0,6.0,2.0
Kuwait,0.0,2.0,0.0,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,2.0,0.0,168.0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,7.0,0.0,48.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,34.0,6.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,2.0,27.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,32.0,13.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,5.0,4.0,0.0,1.0,0.0
Tajikistan,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jamaica,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Puerto Rico,0.0,1.0,0.0,76.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,6.0,3.0,12.0,3.0,18.0,0.0,830.0,3.0,0.0,20.0,3.0,33.0,1.0,0.0,9.0,0.0,19.0,1.0,0.0,2.0,3.0,16.0,0.0,0.0,4.0,0.0,25.0,11.0,0.0,1.0,0.0,1.0,0.0,6.0,13.0,31.0,0.0,14.0,13.0,4.0,0.0,61.0,1.0,1.0,0.0,1.0,0.0,15.0,81.0,0.0,0.0,20.0,0.0,8.0,8.0,1.0,7.0,11.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,31.0,16.0,9.0,0.0,2.0,2.0,9.0,28.0,23.0,0.0,2.0,1.0,0.0,2.0,0.0,69.0,0.0,22.0,7.0,9.0,3.0,2.0,0.0,0.0,3.0,0.0,5.0,0.0,10.0,3.0,0.0,22.0,0.0,9.0,34.0
Cabo Verde,0.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,342.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,22.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,19.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0
Isle of Man,0.0,1.0,1.0,20.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,0.0,359.0,0.0,0.0,21.0,6.0,3.0,0.0,0.0,7.0,0.0,15.0,4.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,86.0,1.0,16.0,6.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,3.0,5.0,13.0,6.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,5.0
Senegal,0.0,2.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,22.0,0.0,1030.0,0.0,1.0,1.0,1.0,21.0,5.0,5.0,79.0,0.0,10.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,22.0,2.0,6.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,4.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,33.0,1.0,0.0,0.0,2.0,0.0,2.0,47.0,19.0,48.0,19.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,4.0,16.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,1.0,3.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,16.0,0.0,0.0,7.0,25.0,0.0,4.0,0.0,0.0,3.0,0.0,16.0,7.0
Mauritius,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,88.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0
Bangladesh,0.0,13.0,2.0,7.0,0.0,0.0,1.0,6.0,1.0,6.0,0.0,7.0,0.0,10.0,0.0,18.0,0.0,459.0,0.0,0.0,2.0,1.0,359.0,1.0,0.0,19.0,0.0,9.0,2.0,0.0,0.0,1.0,16.0,2.0,0.0,2.0,0.0,11.0,3.0,0.0,0.0,4.0,1.0,5.0,1.0,9.0,11.0,3.0,2.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,22.0,1.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,22.0,0.0,0.0,0.0,44.0,0.0,6.0,1.0,0.0,4.0,19.0,10.0,0.0,3.0,5.0,0.0,0.0,19.0,2.0,4.0,4.0,18.0,0.0,2.0,6.0,0.0,6.0,0.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,24.0,4.0,14.0,1.0,0.0,1.0,11.0
Uruguay,0.0,3.0,0.0,94.0,0.0,7.0,29.0,0.0,0.0,3.0,1.0,46.0,0.0,3.0,1.0,3.0,0.0,370.0,0.0,0.0,1.0,2.0,32.0,2.0,0.0,3.0,1.0,10.0,4.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,4.0,6.0,3.0,0.0,3.0,11.0,10.0,0.0,24.0,5.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,11.0,13.0,12.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,21.0,26.0,0.0,0.0,0.0,1.0,2.0,0.0,141.0,7.0,2.0,22.0,0.0,12.0,2.0,1.0,0.0,5.0,4.0,0.0,12.0,6.0,2.0,0.0,2.0,0.0,1.0,0.0,36.0,0.0,47.0,11.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,57.0
