,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Sudan,0.0,5.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,1.0,16.0,26.0,4.0,3.0,119.0,0.0,0.0,0.0,0.0,105.0,45.0,3.0,763.0,0.0,49.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,63.0,18.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,7.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,220.0,67.0,87.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,0.0,1.0,0.0,41.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,14.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,9.0,0.0,10.0,9.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,20.0,10.0,4.0,12.0,0.0,38.0,26.0
Ireland,0.0,1.0,2.0,310.0,0.0,18.0,9.0,0.0,5.0,0.0,4.0,3.0,19.0,4.0,2.0,35.0,0.0,2126.0,0.0,4.0,21.0,4.0,0.0,1.0,0.0,20.0,3.0,38.0,4.0,0.0,2.0,0.0,46.0,3.0,0.0,0.0,1.0,83.0,12.0,6.0,21.0,3.0,16.0,1.0,20.0,13.0,80.0,0.0,13.0,10.0,2.0,0.0,370.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,1.0,0.0,10.0,0.0,6.0,5.0,2.0,25.0,90.0,1.0,0.0,0.0,46.0,3.0,2.0,1.0,6.0,15.0,10.0,3.0,7.0,115.0,1.0,0.0,6.0,0.0,38.0,30.0,172.0,0.0,4.0,2.0,0.0,8.0,1.0,1.0,0.0,62.0,10.0,15.0,1.0,10.0,1.0,7.0,0.0,1.0,27.0,0.0,18.0,2.0,0.0,7.0,0.0,9.0,9.0
Namibia,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,237.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
India,0.0,7.0,7.0,302.0,12.0,21.0,10.0,2.0,8.0,3.0,20.0,134.0,18.0,20.0,27.0,299.0,3.0,8435.0,3.0,1.0,250.0,44.0,562.0,9.0,16.0,138.0,26.0,196.0,9.0,0.0,16.0,1.0,88.0,2.0,0.0,168.0,1.0,467.0,55.0,5.0,20.0,16.0,2.0,0.0,68.0,151.0,98.0,8.0,65.0,19.0,14.0,0.0,791.0,31.0,0.0,6.0,6.0,57.0,271.0,15.0,0.0,0.0,13.0,0.0,23.0,229.0,6.0,1732.0,9.0,3.0,8.0,5.0,27.0,36.0,10.0,4.0,64.0,75.0,89.0,4.0,163.0,59.0,2.0,1.0,76.0,116.0,48.0,109.0,43.0,0.0,4.0,23.0,0.0,21.0,9.0,27.0,5.0,546.0,17.0,2.0,19.0,15.0,36.0,2.0,2.0,0.0,271.0,0.0,210.0,37.0,86.0,2.0,0.0,37.0,127.0
Zimbabwe,0.0,9.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,2.0,5.0,0.0,194.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,147.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,34.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,6.0,26.0,4.0,0.0,0.0,5.0,0.0,6.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,90.0,1.0,0.0,0.0,0.0,2.0,0.0
Gambia,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,61.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Chad,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,10.0,0.0,212.0,0.0,0.0,2.0,1.0,2.0,6.0,10.0,10.0,0.0,9.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,3.0,0.0,13.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,12.0,8.0,1.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,2.0,17.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,12.0,5.0,17.0,0.0,1.0,11.0,0.0,0.0,2.0,0.0,20.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,6.0,23.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,8.0,5.0,1.0,0.0,0.0,5.0,2.0
Liberia,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,74.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,560.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,5.0,3.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,0.0,11.0,1.0
Fiji,0.0,1.0,0.0,15.0,0.0,4.0,2.0,0.0,19.0,0.0,2.0,2.0,6.0,4.0,0.0,124.0,0.0,1196.0,1.0,0.0,3.0,13.0,7.0,6.0,0.0,35.0,0.0,17.0,2.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,1.0,16.0,8.0,1.0,5.0,8.0,0.0,0.0,1.0,12.0,6.0,0.0,12.0,7.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,0.0,8.0,2.0,7.0,46.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,13.0,23.0,7.0,0.0,0.0,63.0,2.0,0.0,13.0,9.0,23.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,90.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,26.0,0.0,17.0,3.0,0.0,1.0,0.0,1.0,14.0
Malawi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,690.0,1.0,6.0,0.0,113.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,1.0,68.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,16.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,51.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
Sweden,0.0,5.0,1.0,42.0,2.0,9.0,4.0,0.0,11.0,0.0,5.0,4.0,47.0,9.0,2.0,28.0,1.0,861.0,1.0,6.0,32.0,30.0,6.0,7.0,2.0,22.0,1.0,54.0,3.0,0.0,40.0,1.0,30.0,0.0,0.0,0.0,1.0,38.0,3.0,9.0,14.0,9.0,8.0,0.0,16.0,25.0,42.0,1.0,58.0,3.0,1.0,0.0,164.0,0.0,2.0,1.0,41.0,1.0,4.0,3.0,0.0,0.0,29.0,2.0,5.0,10.0,0.0,31.0,9.0,1.0,0.0,0.0,21.0,19.0,4.0,4.0,17.0,37.0,14.0,3.0,0.0,168.0,8.0,1.0,14.0,20.0,9.0,23.0,175.0,0.0,1.0,4.0,0.0,16.0,1.0,6.0,0.0,31.0,18.0,4.0,2.0,24.0,0.0,4.0,2.0,0.0,16.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,5.0
Egypt,0.0,5.0,1.0,434.0,2.0,8.0,8.0,0.0,6.0,1.0,2.0,11.0,1.0,70.0,37.0,15.0,0.0,1738.0,0.0,1.0,5.0,0.0,47.0,336.0,1.0,76.0,3.0,325.0,0.0,0.0,0.0,1.0,20.0,4.0,2.0,13.0,1.0,441.0,11.0,1.0,9.0,0.0,0.0,3.0,7.0,20.0,56.0,2.0,13.0,15.0,2.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0,8.0,0.0,10.0,132.0,22.0,104.0,9.0,0.0,0.0,0.0,1.0,78.0,2.0,1.0,17.0,1.0,168.0,1.0,4.0,59.0,2.0,1.0,6.0,40.0,2.0,76.0,10.0,0.0,0.0,25.0,0.0,1.0,1.0,15.0,0.0,15.0,39.0,7.0,9.0,10.0,0.0,0.0,0.0,0.0,36.0,0.0,15.0,75.0,0.0,1.0,0.0,34.0,18.0
Maldives,0.0,4.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,6.0,0.0,202.0,0.0,1.0,1.0,5.0,4.0,1.0,0.0,27.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,6.0,9.0,7.0,0.0,9.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,107.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,8.0,6.0,30.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,101.0,0.0,3.0,5.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,8.0
Azerbaijan,0.0,7.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,32.0,0.0,685.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,55.0,0.0,35.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,37.0,11.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,19.0
Algeria,0.0,5.0,0.0,84.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,22.0,4.0,0.0,256.0,0.0,0.0,0.0,0.0,6.0,59.0,0.0,14.0,0.0,24.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,147.0,9.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,11.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,10.0,0.0,0.0,0.0,6.0,2.0
Kuwait,0.0,2.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,1.0,92.0,0.0,6.0,0.0,47.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,39.0,5.0,0.0,8.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,2.0,30.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,28.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,5.0,4.0,0.0,1.0,0.0
Tajikistan,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Syrian Arab Republic,0.0,1.0,0.0,6.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,875.0,0.0,8.0,0.0,317.0,0.0,0.0,7.0,0.0,4.0,152.0,0.0,55.0,2.0,55.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,45.0,31.0,3.0,2.0,2.0,1.0,0.0,79.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0,8.0,147.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,23.0,0.0,1.0,2.0,0.0,0.0,20.0,21.0,3.0,13.0,13.0,0.0,11.0,1.0,0.0,4.0,0.0,3.0,0.0,4.0,11.0,0.0,36.0,4.0,0.0,2.0,0.0,0.0,12.0,0.0,46.0,34.0,2.0,1.0,1.0,4.0,6.0
Jamaica,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Puerto Rico,0.0,1.0,0.0,77.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,6.0,4.0,12.0,3.0,18.0,0.0,823.0,3.0,0.0,17.0,4.0,36.0,1.0,0.0,9.0,0.0,19.0,1.0,0.0,2.0,3.0,13.0,0.0,0.0,4.0,0.0,25.0,11.0,0.0,1.0,0.0,1.0,0.0,6.0,13.0,24.0,0.0,14.0,13.0,4.0,0.0,63.0,1.0,1.0,0.0,1.0,0.0,15.0,82.0,0.0,0.0,18.0,0.0,7.0,11.0,1.0,6.0,11.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,31.0,16.0,9.0,0.0,2.0,2.0,9.0,26.0,21.0,0.0,3.0,1.0,0.0,2.0,0.0,71.0,0.0,21.0,7.0,9.0,3.0,2.0,0.0,0.0,3.0,0.0,5.0,0.0,10.0,4.0,0.0,12.0,0.0,9.0,37.0
Cabo Verde,0.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,343.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,23.0,1.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,21.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,41.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,13.0
Isle of Man,0.0,1.0,1.0,18.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,9.0,0.0,392.0,0.0,0.0,22.0,5.0,3.0,0.0,0.0,8.0,0.0,13.0,4.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,85.0,1.0,15.0,8.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,10.0,2.0,0.0,2.0,4.0,13.0,8.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0
Senegal,0.0,2.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,22.0,0.0,996.0,0.0,1.0,1.0,1.0,21.0,5.0,5.0,73.0,0.0,10.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,21.0,1.0,6.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,2.0,0.0,2.0,50.0,17.0,48.0,14.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,4.0,18.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,16.0,0.0,0.0,7.0,25.0,0.0,4.0,0.0,0.0,3.0,0.0,15.0,7.0
Mauritius,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,97.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0
Bangladesh,0.0,13.0,2.0,7.0,0.0,0.0,2.0,6.0,1.0,6.0,0.0,7.0,0.0,10.0,0.0,17.0,0.0,457.0,0.0,0.0,3.0,1.0,345.0,1.0,0.0,18.0,0.0,9.0,2.0,0.0,0.0,1.0,20.0,2.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,4.0,1.0,5.0,2.0,9.0,11.0,3.0,2.0,0.0,3.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,22.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,21.0,1.0,0.0,0.0,44.0,0.0,6.0,1.0,0.0,4.0,18.0,10.0,0.0,3.0,5.0,0.0,0.0,19.0,2.0,4.0,4.0,19.0,0.0,2.0,6.0,0.0,7.0,0.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,24.0,4.0,13.0,1.0,0.0,1.0,11.0
Uruguay,0.0,3.0,0.0,127.0,1.0,6.0,28.0,0.0,0.0,4.0,1.0,71.0,0.0,3.0,1.0,4.0,0.0,377.0,0.0,0.0,2.0,2.0,43.0,2.0,0.0,3.0,1.0,10.0,4.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,3.0,6.0,3.0,0.0,3.0,11.0,13.0,0.0,23.0,5.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,11.0,14.0,10.0,2.0,1.0,0.0,0.0,1.0,8.0,0.0,19.0,26.0,0.0,0.0,0.0,1.0,2.0,1.0,141.0,7.0,1.0,23.0,0.0,9.0,2.0,1.0,0.0,5.0,4.0,0.0,11.0,8.0,2.0,0.0,2.0,0.0,1.0,0.0,35.0,0.0,40.0,11.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,14.0,86.0
Ethiopia,0.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0,2.0,24.0,2.0,41.0,15.0,3.0,0.0,175.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,62.0,0.0,9.0,1.0,0.0,0.0,0.0,23.0,4.0,0.0,9.0,0.0,17.0,23.0,5.0,2.0,3.0,0.0,0.0,15.0,11.0,3.0,0.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,90.0,2.0,172.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,6.0,5.0,28.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,4.0,10.0,19.0,0.0,2.0,17.0,0.0,6.0,5.0,3.0,1.0,1.0,1.0,0.0,3.0,4.0,7.0,0.0,0.0,2.0,27.0,0.0,31.0,2.0,3.0,1.0,0.0,6.0,1.0
Haiti,0.0,1.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1100.0,1.0,8.0,0.0,432.0,0.0,0.0,0.0,6.0,10.0,9.0,0.0,24.0,1.0,13.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,13.0,11.0,0.0,8.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,18.0,0.0,34.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,21.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,1.0,9.0,2.0,0.0,1.0,1.0,0.0,7.0,0.0,10.0,0.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,0.0,10.0,6.0
